EmployeeID:FullName:Position:NationalID:HireDate:BirthDate:Gender:MaritalStatus:Address:Phone:Email:EmploymentStatus
1:Caitlin Church:Security Officer:2510395074:2025-06-10:1989-11-29:Male:Single:72627 Austin Ports Suite 782, Lake Shari, RI 95094:+989294565269:peter88@example.org:Active
2:Michael Stein:Port Manager:9338197168:2018-05-19:1968-12-15:Male:Single:807 Richard Stravenue Apt. 881, Port Bailey, ID 01916:+989490141323:herringangelica@example.com:Active
3:Tony Parker:Forklift Driver:8234620356:2016-12-05:1986-12-14:Male:Single:3364 David Parkways, Lake Madeline, AS 73601:+989113271676:rneal@example.net:Active
4:George Allen:Maintenance Technician:9787575865:2018-11-18:1985-04-25:Male:Single:570 Herman Springs, East Richardfort, NJ 08824:+989243309917:travis29@example.net:Active
5:Laura Davis:Cargo Inspector:5320116221:2023-10-23:1984-03-01:Female:Single:5709 May Crossroad Suite 852, Gonzalezburgh, KY 00797:+989351838453:ericmathews@example.com:Active
6:Brandon Baker:Crane Operator:6361150477:2019-11-23:2006-02-16:Female:Single:277 Michael Track Suite 044, East Daleburgh, HI 69426:+989786269909:steve50@example.net:Active
7:Bianca Stout:Port Manager:1402663050:2022-04-24:1968-12-09:Female:Married:93771 Brandi Creek Suite 854, Lake Shanebury, NM 78954:+989436815745:mathewscameron@example.org:Active
8:Jennifer Richardson:Crane Operator:3969776851:2015-06-25:1985-10-25:Male:Married:434 Amanda Court, West Matthew, WY 37348:+989611769426:jonessamantha@example.com:OnLeave
9:Angela Mitchell:Cargo Inspector:1920959193:2015-09-01:1992-03-20:Male:Single:792 Stacy Hollow Apt. 890, Matthewville, CO 19801:+989723742829:kristopher16@example.com:Active
10:Amber Miller:Port Manager:6313016666:2018-07-29:1971-05-09:Male:Single:39409 White Row Suite 245, South Christina, IL 17507:+989714861017:emily89@example.com:Active
11:Eric Rios:Port Manager:2792294088:2019-07-05:1989-04-10:Female:Married:54593 Contreras Freeway Suite 683, Amandahaven, CO 25206:+989272754296:uromero@example.net:OnLeave
